timestamp,elapsed_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,mag_x_uT,mag_y_uT,mag_z_uT,temp_c
16:25:23.470,5932430,-5.112,-5.744,-4.968,1.029,-1.358,1.665,26.400,-17.400,-49.950,35.1
16:25:23.515,5932484,-5.578,-4.853,-3.668,0.487,-1.276,1.662,35.400,-14.550,-43.500,35.1
16:25:23.575,5932538,-6.505,-4.264,-4.204,0.220,-1.061,1.408,35.400,-14.550,-43.500,35.3
16:25:23.635,5932592,-7.130,-3.249,-3.297,-0.281,-0.998,1.171,35.400,-14.550,-43.500,35.3
16:25:23.697,5932646,-6.443,2.931,-2.605,-1.049,-1.518,0.629,35.400,-14.550,-43.500,35.2
16:25:23.740,5932700,-2.746,-10.788,-8.262,-1.752,0.476,-0.728,45.900,-2.850,-33.750,34.9
16:25:23.785,5932754,-6.402,-0.907,-7.920,-0.982,1.935,-1.393,45.900,-2.850,-33.750,35.1
16:25:23.846,5932808,-5.411,-8.068,-3.184,1.037,3.138,-1.628,41.850,-3.150,-42.150,35.3
16:25:23.906,5932862,-5.025,-2.545,-4.597,-0.102,2.936,-2.046,41.850,-3.150,-42.150,35.1
16:25:23.951,5932916,-2.646,-6.780,-6.359,0.141,3.036,-1.990,31.350,-11.700,-51.000,35.3
16:25:24.011,5932970,-3.067,-6.079,-7.968,-0.068,2.389,-1.657,31.350,-11.700,-51.000,35.5
16:25:24.055,5933024,-1.664,-5.567,-8.076,0.483,2.690,-1.575,15.600,-15.000,-56.550,35.0
16:25:24.115,5933078,2.579,-7.254,-8.066,0.750,2.724,-1.549,15.600,-15.000,-56.550,35.1
16:25:24.176,5933132,2.488,-8.528,-8.320,0.155,2.302,-1.365,15.600,-15.000,-56.550,35.5
16:25:24.221,5933186,3.706,-7.329,-6.522,0.520,2.170,-1.062,15.600,-15.000,-56.550,34.9
16:25:24.280,5933240,5.849,-7.099,-7.142,0.034,2.063,-1.027,15.600,-15.000,-56.550,35.4
16:25:24.325,5933294,6.246,-8.102,-6.677,-0.212,2.249,-1.068,-22.800,-21.450,-49.500,35.3
16:25:24.385,5933348,5.751,-6.598,-3.768,0.131,1.708,-0.476,-22.800,-21.450,-49.500,35.3
16:25:24.445,5933402,6.914,-5.787,-4.082,-0.092,1.745,-0.325,-32.850,-21.450,-45.450,35.1
16:25:24.490,5933456,6.725,-6.519,-4.583,-0.262,1.947,-0.173,-32.850,-21.450,-45.450,35.3
16:25:24.550,5933510,7.051,-4.118,-6.191,-1.726,1.320,0.002,-36.750,-20.400,-39.450,35.2
16:25:24.596,5933564,7.805,-2.437,-3.694,-0.303,0.177,-0.784,-36.750,-20.400,-39.450,35.1
16:25:24.656,5933618,7.274,-6.419,-8.203,0.037,-1.418,-0.447,-43.200,-15.450,-41.550,35.4
16:25:24.717,5933672,8.789,-7.140,-6.867,1.084,-2.894,0.172,-43.200,-15.450,-41.550,35.1
16:25:24.761,5933726,6.203,-6.900,-6.910,0.409,-3.458,1.291,-43.200,-15.450,-41.550,35.1
16:25:24.867,5933780,5.085,-6.831,-8.100,0.574,-3.954,1.706,-43.200,-15.450,-41.550,35.2
16:25:24.867,5933834,3.699,-7.293,-9.148,0.656,-3.960,2.018,-43.200,-15.450,-41.550,35.2
16:25:24.926,5933888,1.891,-7.542,-7.343,0.416,-3.576,2.040,-3.900,-19.050,-56.100,35.1
16:25:24.986,5933942,-0.766,-6.816,-5.729,-0.062,-2.767,1.831,-3.900,-19.050,-56.100,35.1
16:25:25.045,5933996,-1.542,-6.677,-4.614,-0.185,-2.319,1.710,14.700,-19.800,-53.100,35.3
16:25:25.105,5934050,-2.555,-6.218,-4.616,0.526,-1.693,1.541,14.700,-19.800,-53.100,35.4
16:25:25.165,5934104,-3.546,-4.020,-1.034,0.784,-1.338,1.369,25.650,-15.450,-48.900,34.9
16:25:25.226,5934158,-3.826,2.945,0.989,-0.544,-0.592,0.596,25.650,-15.450,-48.900,35.0
16:25:25.286,5934212,-0.223,-5.344,-14.629,-2.792,0.800,-1.055,32.100,-15.150,-43.200,35.1
16:25:25.345,5934266,-7.398,-4.899,-0.084,-1.306,2.353,-1.571,32.100,-15.150,-43.200,35.3
16:25:25.405,5934320,-2.294,-6.141,-5.351,0.610,3.162,-1.778,32.100,-15.150,-43.200,35.3
16:25:25.467,5934374,-2.746,-3.857,-7.252,0.549,2.840,-1.661,12.900,-14.250,-58.800,35.1
16:25:25.467,5934428,0.271,-6.393,-9.977,0.489,2.637,-1.655,12.900,-14.250,-58.800,35.3
16:25:25.527,5934482,2.124,-5.157,-8.344,0.897,2.512,-1.568,-3.900,-18.300,-57.450,35.3
16:25:25.585,5934536,3.594,-8.480,-9.594,0.470,2.158,-1.354,-3.900,-18.300,-57.450,35.3
16:25:25.647,5934590,4.187,-6.184,-7.954,-0.009,2.080,-1.083,-15.900,-17.700,-54.000,34.9
16:25:25.707,5934644,5.049,-6.812,-7.108,-0.207,1.850,-0.919,-15.900,-17.700,-54.000,34.9
16:25:25.765,5934698,5.770,-7.796,-8.255,-0.652,0.992,-0.228,-27.150,-16.950,-51.450,35.1
16:25:25.826,5934752,5.363,-5.691,-8.361,-0.297,-0.021,-0.045,-27.150,-16.950,-51.450,35.3
16:25:25.886,5934806,5.681,-6.941,-10.087,-0.083,-2.059,0.550,-30.450,-13.050,-51.450,35.1
16:25:25.946,5934860,4.396,-8.124,-10.503,0.372,-3.144,1.045,-30.450,-13.050,-51.450,35.1
16:25:25.947,5934914,3.354,-7.870,-9.249,0.479,-3.513,1.562,-30.450,-13.050,-51.450,35.1
16:25:26.006,5934968,1.666,-7.582,-7.645,0.360,-3.712,2.027,-2.550,-16.950,-58.500,35.0
16:25:26.065,5935022,-0.014,-6.804,-4.870,1.596,-3.636,2.147,-2.550,-16.950,-58.500,35.4
16:25:26.125,5935076,-1.362,-4.635,-2.610,0.751,-2.447,2.159,17.400,-20.400,-51.150,34.9
16:25:26.186,5935130,-1.417,-2.260,-5.128,-1.176,-0.830,1.061,17.400,-20.400,-51.150,35.1
16:25:26.246,5935184,-1.535,-5.306,-2.286,-0.826,0.858,-0.385,25.800,-17.550,-49.800,35.5
16:25:26.306,5935238,-1.784,-4.314,-5.114,-0.812,1.881,-1.132,25.800,-17.550,-49.800,35.1
16:25:26.365,5935292,-1.944,-5.289,-4.762,-0.313,2.772,-1.578,19.650,-14.550,-57.300,35.0
16:25:26.425,5935346,-0.840,-5.878,-7.652,-0.378,2.863,-1.711,19.650,-14.550,-57.300,35.1
16:25:26.485,5935400,1.113,-8.875,-10.693,0.032,2.724,-1.142,3.600,-16.200,-58.800,35.1
16:25:26.486,5935454,2.983,-5.942,-11.009,-0.526,2.733,-1.039,3.600,-16.200,-58.800,35.3
16:25:26.546,5935508,5.011,-6.376,-9.007,0.011,2.954,-0.948,3.600,-16.200,-58.800,34.9
16:25:26.606,5935562,5.009,-6.472,-8.648,-0.253,2.333,-0.555,-24.750,-16.800,-54.900,35.1
16:25:26.666,5935616,6.467,-5.152,-5.672,-0.227,2.663,-0.559,-24.750,-16.800,-54.900,35.1
16:25:26.726,5935670,6.804,-5.918,-6.632,-0.568,2.615,-0.180,-36.450,-13.500,-51.450,35.3
16:25:26.786,5935724,7.714,-5.476,-5.725,-0.545,2.091,-0.051,-36.450,-13.500,-51.450,35.2
16:25:26.846,5935778,7.973,-4.527,-7.494,-0.145,0.849,0.077,-42.000,-11.850,-45.300,35.1
16:25:26.906,5935832,7.942,-5.437,-5.914,1.349,-1.279,0.032,-42.000,-11.850,-45.300,35.3
16:25:26.966,5935886,7.817,-6.294,-7.408,0.845,-2.467,0.624,-42.450,-7.200,-52.650,35.3
16:25:27.026,5935940,7.393,-7.175,-7.226,1.360,-3.534,1.212,-42.450,-7.200,-52.650,35.1
16:25:27.027,5935994,6.187,-7.384,-7.819,0.608,-3.880,1.757,-31.650,-8.400,-55.800,35.2
16:25:27.085,5936048,4.305,-7.525,-7.927,0.129,-3.721,1.990,-31.650,-8.400,-55.800,34.9
16:25:27.145,5936102,1.580,-7.192,-7.230,-0.356,-3.337,1.903,-31.650,-8.400,-55.800,35.1
16:25:27.206,5936156,0.469,-8.083,-6.989,0.039,-2.939,1.665,6.600,-18.150,-56.550,35.3
16:25:27.266,5936210,-1.020,-6.943,-5.310,-0.003,-2.688,1.710,6.600,-18.150,-56.550,35.3
16:25:27.327,5936264,-2.990,-6.213,-5.298,0.386,-2.176,1.622,19.800,-17.550,-51.000,35.2
16:25:27.385,5936318,-3.847,-7.116,-4.580,0.720,-2.093,1.853,19.800,-17.550,-51.000,35.1
16:25:27.445,5936372,-5.212,-6.191,-4.085,1.021,-1.661,1.840,31.950,-14.250,-43.800,35.1
16:25:27.505,5936426,-6.436,-4.786,-0.622,0.899,-1.662,2.258,31.950,-14.250,-43.800,35.1
16:25:27.566,5936480,-7.262,-0.742,-1.164,0.489,-1.185,2.142,42.000,-10.050,-35.700,35.5
16:25:27.567,5936534,-7.973,0.093,-2.830,-1.628,-0.857,1.154,42.000,-10.050,-35.700,34.8
16:25:27.626,5936588,-5.875,-3.091,-4.537,-1.883,-0.366,-0.137,47.700,-3.750,-31.050,35.3
16:25:27.685,5936642,-6.469,-4.353,-4.377,-1.837,0.915,-0.635,47.700,-3.750,-31.050,35.3
16:25:27.745,5936696,-7.276,-3.292,-3.922,-0.221,1.972,-1.358,47.700,-3.750,-31.050,35.3
16:25:27.807,5936750,-7.640,-3.780,-3.857,-0.555,2.499,-1.304,47.700,-3.750,-31.050,35.2
16:25:27.927,5936804,-5.507,-4.535,-4.700,-0.021,3.498,-1.733,40.800,-5.850,-45.150,35.1
16:25:27.927,5936858,-4.901,-6.184,-7.242,-0.363,3.466,-1.490,27.750,-11.400,-56.850,35.1
16:25:27.987,5936912,-2.411,-5.844,-10.915,-0.150,3.333,-1.528,27.750,-11.400,-56.850,35.1
16:25:28.047,5936966,0.268,-4.381,-7.757,0.840,3.106,-1.416,10.350,-15.450,-63.150,35.2
16:25:28.105,5937020,1.482,-8.794,-8.973,0.643,2.765,-1.129,10.350,-15.450,-63.150,35.0
16:25:28.106,5937074,1.348,-3.019,-13.048,-0.123,2.092,-1.200,-5.700,-19.500,-59.700,35.3
16:25:28.165,5937128,3.809,-5.306,-6.737,1.502,2.070,-0.822,-5.700,-19.500,-59.700,35.1
16:25:28.226,5937182,5.351,-8.995,-7.989,1.115,2.368,-0.749,-16.350,-23.550,-54.000,35.3
16:25:28.286,5937236,5.514,-6.134,-5.480,0.686,1.862,-0.743,-16.350,-23.550,-54.000,35.3
16:25:28.346,5937290,6.215,-6.256,-5.701,-0.055,1.871,-0.759,-16.350,-23.550,-54.000,35.1
16:25:28.405,5937344,6.905,-7.269,-4.611,0.088,1.768,-0.678,-16.350,-23.550,-54.000,35.3
16:25:28.465,5937398,6.936,-6.689,-5.689,-0.476,1.785,-0.473,-33.150,-25.500,-40.200,35.2
16:25:28.525,5937452,7.884,-6.385,-5.593,-0.615,1.085,-0.225,-38.250,-22.350,-35.400,35.1
16:25:28.586,5937506,7.369,-6.268,-6.383,-0.797,-0.900,0.310,-38.250,-22.350,-35.400,35.1
16:25:28.645,5937560,6.076,-7.324,-8.049,-0.561,-2.692,0.793,-36.450,-22.350,-42.000,35.3
16:25:28.646,5937614,5.013,-6.280,-8.332,0.466,-3.616,1.284,-36.450,-22.350,-42.000,35.4
16:25:28.707,5937668,4.250,-9.663,-6.637,1.375,-3.626,2.312,-23.400,-21.600,-51.150,35.1
16:25:28.765,5937722,1.477,-8.420,-6.031,0.302,-3.179,2.892,-23.400,-21.600,-51.150,35.1
16:25:28.826,5937776,-1.113,-7.661,-7.187,0.315,-2.803,2.915,-2.100,-27.750,-50.400,35.1
16:25:28.885,5937830,-2.088,-6.759,-5.327,0.171,-1.911,2.324,-2.100,-27.750,-50.400,35.3
16:25:28.945,5937884,-4.324,-5.045,-3.845,-1.107,-2.005,2.390,-2.100,-27.750,-50.400,35.1
16:25:29.007,5937938,-4.958,-5.595,-1.669,0.217,-1.853,2.188,-2.100,-27.750,-50.400,35.0
16:25:29.066,5937992,0.182,-3.239,-12.055,-0.203,0.671,0.788,32.550,-19.500,-42.450,35.0
16:25:29.125,5938046,-5.217,-8.226,-3.955,-1.172,2.291,-0.665,33.900,-15.450,-42.450,35.4
16:25:29.187,5938100,-2.325,-7.963,-8.756,-0.863,3.082,-0.699,33.900,-15.450,-46.350,35.0
16:25:29.188,5938154,-3.000,-1.755,-4.123,-0.627,3.526,-0.741,21.900,-14.550,-58.800,35.1
16:25:29.247,5938208,-3.536,-5.090,-11.844,-0.260,3.018,-0.345,21.900,-14.550,-58.800,35.0
16:25:29.307,5938262,2.600,-5.028,-6.816,0.640,3.244,-0.273,4.950,-15.900,-61.500,35.1
16:25:29.367,5938316,1.001,-5.976,-9.752,-0.295,2.120,0.108,4.950,-15.900,-61.500,35.3
16:25:29.425,5938370,0.146,-6.876,-12.361,0.047,0.910,0.398,-3.300,-15.000,-62.100,35.1
16:25:29.485,5938424,1.537,-7.061,-12.996,0.230,-1.503,1.047,-3.300,-15.000,-62.100,34.8
16:25:29.545,5938478,0.651,-8.212,-12.050,0.585,-2.858,1.735,-3.300,-15.000,-62.100,35.0
16:25:29.606,5938532,0.165,-8.868,-6.196,1.674,-2.853,2.779,-3.300,-15.000,-62.100,35.0
16:25:29.665,5938586,-1.334,-4.954,-5.744,-1.256,-0.475,2.120,17.850,-18.450,-51.900,35.1
16:25:29.726,5938640,-0.204,-6.388,-5.183,-0.813,1.623,0.973,17.850,-18.450,-51.900,35.1
16:25:29.727,5938694,-1.559,-2.756,-3.397,0.672,2.725,0.342,24.300,-12.150,-55.350,35.2
16:25:29.785,5938748,-1.080,-3.385,-7.214,0.506,2.772,-0.040,16.200,-9.750,-57.450,35.1
16:25:29.845,5938802,-0.713,-4.489,-7.999,0.156,2.446,0.075,16.200,-9.750,-57.450,35.2
16:25:29.905,5938856,0.579,-5.744,-9.400,-0.060,2.704,0.077,6.750,-12.900,-58.650,35.3
16:25:29.966,5938910,2.832,-6.443,-7.336,0.374,2.403,0.331,6.750,-12.900,-58.650,35.1
16:25:30.026,5938964,4.357,-4.642,-7.724,-0.116,2.574,0.286,6.750,-12.900,-58.650,35.1
16:25:30.085,5939018,4.719,-5.042,-6.847,-0.774,2.954,0.228,6.750,-12.900,-58.650,35.1
16:25:30.145,5939072,5.219,-6.476,-5.952,-0.628,2.660,0.133,6.750,-12.900,-58.650,35.1
16:25:30.205,5939126,5.737,-7.118,-6.859,-0.487,2.119,0.338,6.750,-12.900,-58.650,35.1
16:25:30.265,5939180,7.408,-7.602,-5.131,-0.647,1.552,0.167,-17.700,-10.500,-56.100,35.1
16:25:30.266,5939234,5.923,-3.333,-5.835,-0.402,1.596,-0.123,-17.700,-10.500,-56.100,35.1
16:25:30.327,5939288,6.189,-5.162,-4.650,-0.385,1.101,-0.240,-21.000,-7.050,-54.150,35.1
16:25:30.387,5939342,6.677,-6.850,-4.860,-0.534,0.411,0.229,-22.500,-4.800,-51.300,35.2
16:25:30.447,5939396,8.092,-8.071,-7.345,0.328,-0.559,0.412,-22.500,-4.800,-51.300,34.9
16:25:30.505,5939450,7.077,-6.474,-5.497,-0.225,-0.707,0.852,-18.600,-1.500,-50.400,35.1
16:25:30.565,5939504,6.668,-6.072,-4.061,0.350,-1.189,1.059,-18.600,-1.500,-50.400,35.1
16:25:30.626,5939558,7.290,-7.436,-4.010,0.313,-0.976,1.187,-18.600,-1.500,-50.400,35.4
16:25:30.686,5939612,3.448,-5.622,-3.831,-0.985,-0.286,1.012,-18.600,-1.500,-50.400,35.0
16:25:30.746,5939666,5.890,-7.728,-3.278,-0.323,1.026,0.555,-7.200,-1.650,-49.050,35.2
16:25:30.807,5939720,3.826,-3.613,-0.060,-0.634,1.908,0.241,-7.200,-1.650,-49.050,35.1
16:25:30.808,5939774,4.829,-5.385,-4.312,-1.524,1.729,0.307,-10.950,-2.400,-48.300,35.5
16:25:30.867,5939828,6.416,-1.520,-0.232,0.405,2.487,0.128,-10.950,-2.400,-48.300,35.3
16:25:30.925,5939882,7.427,-8.303,-4.932,0.050,2.175,-0.048,-17.850,0.750,-46.050,34.9
16:25:30.985,5939936,8.768,-6.618,-4.192,0.452,1.404,0.088,-17.850,0.750,-46.050,35.0
16:25:31.045,5939990,8.217,-7.930,-2.449,0.258,1.273,0.117,-23.550,0.450,-42.450,35.1
16:25:31.107,5940044,10.740,-8.918,-2.358,-0.096,0.657,0.044,-25.500,-1.350,-37.800,35.1
16:25:31.165,5940098,10.410,-9.033,-3.661,-0.723,-0.242,0.340,-25.500,-1.350,-37.800,35.3
16:25:31.226,5940152,9.603,-9.627,-3.069,-0.791,-1.020,0.648,-25.500,-1.350,-37.800,35.1
16:25:31.286,5940206,8.528,-9.637,-3.534,-0.828,-1.600,1.050,-25.500,-1.350,-37.800,35.1
16:25:31.346,5940260,8.557,-9.187,-2.729,-0.026,-2.058,1.694,-24.300,-5.550,-39.600,35.0
16:25:31.346,5940314,6.160,-10.685,-4.130,-0.539,-2.037,2.245,-24.300,-5.550,-39.600,35.1
16:25:31.406,5940368,4.058,-8.420,-4.252,0.010,-2.162,2.803,-12.150,-13.050,-44.850,34.9
16:25:31.466,5940422,2.495,-7.889,-4.269,-0.337,-2.116,2.688,-12.150,-13.050,-44.850,35.0
16:25:31.525,5940476,2.004,-8.645,-4.381,-0.327,-1.678,2.475,4.200,-19.050,-46.950,35.4
16:25:31.585,5940530,-0.984,-7.839,-1.128,-0.180,-1.555,2.634,4.200,-19.050,-46.950,35.1
16:25:31.646,5940584,-3.409,-3.757,-2.665,-2.106,-1.735,2.351,22.350,-17.400,-47.400,35.3
16:25:31.707,5940638,1.686,-7.183,-7.626,-1.034,-0.524,1.070,36.600,-9.000,-48.300,35.1
16:25:31.766,5940692,-0.364,-3.785,-3.613,-0.304,1.973,0.532,36.600,-9.000,-48.300,35.4
16:25:31.826,5940746,-3.488,-3.041,-3.168,0.574,3.058,-0.341,36.600,-9.000,-48.300,35.3
16:25:31.885,5940800,-2.533,-6.278,-6.716,-0.394,2.552,-0.294,36.600,-9.000,-48.300,35.1
16:25:31.886,5940854,-1.288,-0.611,-4.970,-1.079,2.823,-0.647,23.850,-6.450,-62.400,34.8
16:25:31.947,5940908,-1.231,-6.414,-9.297,-0.783,2.132,-0.166,23.850,-6.450,-62.400,35.1
16:25:32.006,5940962,3.998,-4.693,-6.543,-2.590,3.312,-0.398,11.250,-2.100,-67.800,35.3
16:25:32.066,5941016,2.782,-3.462,-5.504,-1.475,3.485,-0.005,11.250,-2.100,-67.800,35.1
16:25:32.125,5941070,7.652,-4.360,-7.645,1.055,4.086,-0.070,-6.750,4.800,-67.800,35.1
16:25:32.185,5941124,7.582,-0.357,-9.469,-1.225,2.837,0.537,-6.750,4.800,-67.800,35.2
16:25:32.246,5941178,7.585,-5.499,-9.488,1.253,0.745,0.311,-25.200,3.000,-62.100,35.3
16:25:32.306,5941232,7.209,-4.879,-7.013,0.046,0.638,0.734,-29.700,0.300,-62.850,35.1
16:25:32.366,5941286,7.728,-3.776,-6.409,0.313,0.575,0.906,-29.700,0.300,-62.850,34.7
16:25:32.425,5941340,6.747,-3.438,-6.788,0.647,-0.188,0.531,-29.700,0.300,-62.850,34.8
16:25:32.426,5941394,5.284,-0.737,-8.193,1.164,-0.930,0.023,-29.700,0.300,-62.850,35.4
16:25:32.485,5941448,6.527,-7.288,-6.019,0.898,-1.075,0.458,-31.650,-0.300,-67.950,35.1
16:25:32.545,5941502,5.248,-7.207,-8.016,0.929,-1.394,0.762,-31.650,-0.300,-67.950,35.3
16:25:32.605,5941556,5.404,-6.369,-5.435,0.813,-2.709,1.151,-24.000,-5.850,-66.600,35.1
16:25:32.665,5941610,4.128,-8.394,-6.620,-0.120,-2.835,1.524,-24.000,-5.850,-66.600,35.2
16:25:32.725,5941664,2.976,-8.449,-7.556,-0.167,-2.688,1.715,-7.800,-10.800,-67.200,35.1
16:25:32.787,5941718,1.846,-8.361,-6.809,-0.867,-2.534,1.676,-7.800,-10.800,-67.200,35.1
16:25:32.846,5941772,-0.141,-8.090,-7.456,-0.829,-2.354,1.872,12.450,-12.450,-66.600,35.0
16:25:32.906,5941826,-1.003,-7.142,-6.548,-0.048,-2.392,1.878,12.450,-12.450,-66.600,35.1
16:25:32.966,5941880,-2.993,-7.235,-5.499,0.315,-2.498,2.156,12.450,-12.450,-66.600,35.1
16:25:32.966,5941934,-5.006,-5.646,-4.398,0.543,-2.483,2.399,12.450,-12.450,-66.600,35.0
16:25:33.027,5941988,-6.299,-5.684,-3.900,1.150,-2.550,2.452,12.450,-12.450,-66.600,35.1
16:25:33.086,5942042,-6.548,-4.101,-1.714,0.874,-1.654,2.182,57.000,7.650,-39.750,35.0
16:25:33.147,5942096,-8.339,-3.182,-1.712,0.311,-0.953,1.605,57.000,7.650,-39.750,35.2
16:25:33.205,5942150,-9.031,-0.831,-1.386,-1.254,-0.771,1.100,58.050,19.200,-36.150,35.1
16:25:33.267,5942204,-5.217,-1.884,-2.452,-2.129,-1.149,0.447,58.050,19.200,-36.150,35.6
16:25:33.387,5942258,-6.304,-0.182,-3.481,-1.407,0.326,-0.469,59.850,23.850,-25.950,34.9
16:25:33.387,5942312,-8.186,-3.685,-4.482,-1.201,1.472,-0.576,59.850,23.850,-25.950,34.9
16:25:33.447,5942366,-7.884,-1.106,-2.260,-0.800,2.500,-0.878,59.700,23.700,-32.700,35.3
16:25:33.505,5942420,-7.855,-3.792,-3.469,-0.083,2.994,-1.138,59.700,23.700,-32.700,35.2
16:25:33.506,5942474,-6.900,-1.935,-6.340,-0.222,3.092,-1.367,59.700,23.700,-32.700,34.9
16:25:33.565,5942528,-3.847,-5.176,-6.948,0.859,3.082,-1.221,45.750,12.750,-63.150,35.0
16:25:33.626,5942582,-4.697,-5.720,-6.907,0.111,2.346,-0.806,45.750,12.750,-63.150,35.1
16:25:33.686,5942636,-3.883,-4.391,-11.279,0.418,2.260,-1.022,33.150,4.950,-70.800,35.0
16:25:33.746,5942690,0.436,-6.215,-9.335,0.911,2.299,-1.048,33.150,4.950,-70.800,35.2
16:25:33.806,5942744,-1.022,-7.752,-11.724,0.617,1.807,-0.869,18.900,1.500,-74.550,34.8
16:25:33.866,5942798,1.798,-5.114,-7.860,0.553,2.742,-1.250,18.900,1.500,-74.550,35.1
16:25:33.926,5942852,2.011,-8.454,-10.116,1.395,1.743,-0.788,4.800,-3.450,-75.600,35.2
16:25:33.986,5942906,6.026,-8.990,-0.814,1.896,2.030,-1.193,4.800,-3.450,-75.600,35.0
16:25:34.047,5942960,4.920,-8.380,-8.770,2.101,1.499,-1.260,-9.450,-14.850,-69.600,35.1
16:25:34.047,5943014,5.239,-8.461,-5.665,1.146,0.705,-0.521,-9.450,-14.850,-69.600,35.1
16:25:34.106,5943068,6.517,-6.196,-2.368,-0.515,1.010,-0.898,-9.450,-14.850,-69.600,34.9
16:25:34.167,5943122,6.373,-7.453,-4.922,-1.549,1.658,-1.051,-28.650,-13.500,-62.850,35.1
16:25:34.225,5943176,6.009,-6.881,-5.076,-0.104,1.179,-0.754,-28.650,-13.500,-62.850,35.1
16:25:34.286,5943230,8.648,-7.149,-5.160,-0.677,1.418,-0.398,-35.550,-5.850,-61.200,35.1
16:25:34.347,5943284,8.588,-3.936,-5.880,-1.085,1.190,-0.230,-35.550,-5.850,-61.200,35.1
16:25:34.406,5943338,7.049,-2.643,-8.164,-0.241,-0.134,-0.427,-41.100,-1.650,-57.450,35.1
16:25:34.466,5943392,6.778,-4.556,-6.220,0.154,-2.206,-0.350,-41.100,-1.650,-57.450,35.1
16:25:34.525,5943446,7.980,-6.610,-5.871,0.682,-3.200,0.177,-34.800,3.150,-63.300,35.0
16:25:34.585,5943500,6.553,-5.456,-8.308,1.062,-3.613,0.779,-34.800,3.150,-63.300,35.1
16:25:34.586,5943554,5.523,-6.902,-8.751,0.545,-3.543,1.083,-18.000,-2.850,-69.900,35.2
16:25:34.645,5943608,4.913,-6.024,-8.935,0.141,-3.244,1.282,-18.000,-2.850,-69.900,35.2
16:25:34.705,5943662,2.531,-5.286,-8.428,-0.094,-3.033,1.448,-18.000,-2.850,-69.900,35.0
16:25:34.767,5943716,0.984,-6.337,-7.898,-0.262,-3.015,1.333,-18.000,-2.850,-69.900,34.8
16:25:34.825,5943770,-1.743,-5.188,-6.981,0.136,-2.869,1.508,24.000,-4.350,-69.150,35.1
16:25:34.886,5943824,-3.323,-4.920,-6.744,0.341,-2.484,1.477,42.000,0.750,-62.400,35.1
16:25:35.005,5943878,-4.298,-4.537,-6.132,0.215,-2.136,1.501,42.000,0.750,-62.400,34.9
16:25:35.006,5943932,-7.240,-2.212,-4.322,-0.181,-1.780,1.211,52.350,5.850,-51.300,35.1
16:25:35.065,5943986,-7.429,-3.414,-2.626,-0.306,-1.813,1.088,52.350,5.850,-51.300,35.1
16:25:35.125,5944040,-8.274,-2.224,-4.008,-0.695,-1.635,1.015,55.950,11.400,-42.150,35.1
16:25:35.126,5944094,-6.000,-2.255,-2.890,-0.377,-1.492,0.383,55.950,11.400,-42.150,35.1
16:25:35.187,5944148,-6.649,-3.443,-1.386,0.025,-0.013,0.046,55.950,11.400,-42.150,34.9
16:25:35.245,5944202,-5.938,-0.797,-4.702,0.187,1.608,-0.927,55.950,11.400,-42.150,35.0
16:25:35.307,5944256,-7.954,-0.101,-4.410,-1.622,3.121,-1.542,55.950,11.400,-42.150,35.0
16:25:35.367,5944310,-7.013,-6.632,-3.395,-0.428,3.425,-1.429,55.950,11.400,-42.150,35.0
16:25:35.427,5944364,-3.855,-5.183,-6.795,-0.849,3.294,-1.054,52.050,9.150,-54.000,35.0
16:25:35.487,5944418,-4.156,-1.487,-6.785,-0.595,2.936,-0.695,35.550,7.500,-68.550,35.2
16:25:35.545,5944472,-2.356,-6.268,-12.359,0.456,2.698,-0.622,35.550,7.500,-68.550,35.2
16:25:35.605,5944526,0.907,-3.543,-9.811,0.197,2.546,-0.572,20.850,3.450,-74.550,35.2
16:25:35.665,5944580,0.522,-6.910,-9.282,-0.441,2.121,-0.325,20.850,3.450,-74.550,35.3
16:25:35.666,5944634,4.096,-4.772,-9.254,0.431,2.370,-0.646,6.000,3.600,-75.450,35.0
16:25:35.725,5944688,3.519,-7.721,-7.539,0.319,1.479,-0.135,6.000,3.600,-75.450,34.8
16:25:35.787,5944742,3.455,-3.280,-7.525,1.030,1.328,-0.249,6.000,3.600,-75.450,35.0
16:25:35.845,5944796,4.899,-6.167,-8.456,1.069,1.222,-0.247,6.000,3.600,-75.450,35.1
16:25:35.905,5944850,2.907,-4.037,-4.671,0.581,1.207,-0.469,-12.150,-6.450,-71.550,35.3
16:25:35.967,5944904,6.563,-5.588,-8.499,-0.062,1.181,-0.319,-12.150,-6.450,-71.550,35.2
16:25:36.027,5944958,5.741,-6.053,-6.421,0.220,1.233,-0.363,-19.800,-8.250,-68.100,34.9
16:25:36.086,5945012,6.946,-5.851,-6.086,0.247,1.083,-0.433,-19.800,-8.250,-68.100,35.1
16:25:36.145,5945066,6.297,-5.272,-4.580,-0.203,0.806,-0.092,-27.300,-8.250,-64.050,35.3
16:25:36.205,5945120,6.539,-4.657,-4.113,-1.103,0.625,-0.110,-32.700,-5.700,-63.900,34.9
16:25:36.206,5945174,6.551,-2.286,-5.006,-0.333,0.790,-0.440,-32.700,-5.700,-63.900,35.1
16:25:36.265,5945228,7.168,-4.774,-6.213,0.129,0.225,-0.515,-32.700,-5.700,-63.900,35.1
16:25:36.326,5945282,7.465,-4.568,-5.131,0.510,-0.118,-0.383,-32.700,-5.700,-63.900,35.2
